id,isBestMatch,isBuyerMaker,price,qty,quoteQty,date time
350295614,True,True,9137.94000000,0.09585700,875.93551458,2020-07-04 19:10:15
350295615,True,False,9137.95000000,0.01776900,162.37223355,2020-07-04 19:10:15
350295616,True,False,9137.95000000,0.04321000,394.85081950,2020-07-04 19:10:15
350295617,True,True,9137.94000000,0.23884700,2182.56955518,2020-07-04 19:10:15
350295618,True,True,9137.94000000,0.01000000,91.37940000,2020-07-04 19:10:15
350295619,True,True,9137.94000000,0.35825800,3273.74010852,2020-07-04 19:10:15
350295620,True,True,9137.59000000,0.02406900,219.93265371,2020-07-04 19:10:15
350295621,True,True,9137.59000000,0.00000200,0.01827518,2020-07-04 19:10:15
350295622,True,True,9137.58000000,0.00646300,59.05617954,2020-07-04 19:10:15
350295623,True,True,9137.58000000,0.00874700,79.92641226,2020-07-04 19:10:15
350295624,True,True,9137.49000000,0.00089100,8.14150359,2020-07-04 19:10:15
350295625,True,False,9137.50000000,0.00973600,88.96270000,2020-07-04 19:10:15
350295626,True,True,9137.49000000,0.00825300,75.41170497,2020-07-04 19:10:15
350295627,True,True,9137.49000000,0.00115800,10.58121342,2020-07-04 19:10:15
350295628,True,False,9137.50000000,0.00400000,36.55000000,2020-07-04 19:10:15
350295629,True,False,9137.50000000,0.03564200,325.67877500,2020-07-04 19:10:15
350295630,True,True,9136.81000000,0.01691300,154.53086753,2020-07-04 19:10:16
350295631,True,True,9136.84000000,0.01339900,122.42451916,2020-07-04 19:10:16
350295632,True,False,9137.00000000,0.00120000,10.96440000,2020-07-04 19:10:16
350295633,True,False,9137.95000000,0.05895300,538.70956635,2020-07-04 19:10:16
350295634,True,False,9137.09000000,0.00400000,36.54836000,2020-07-04 19:10:16
350295635,True,True,9137.08000000,0.20657600,1887.50143808,2020-07-04 19:10:16
350295636,True,False,9137.09000000,0.05000000,456.85450000,2020-07-04 19:10:16
350295637,True,False,9137.09000000,0.00437600,39.98390584,2020-07-04 19:10:16
350295638,True,False,9137.09000000,0.00437600,39.98390584,2020-07-04 19:10:16
350295639,True,False,9137.09000000,0.06022300,550.26297107,2020-07-04 19:10:16
350295640,True,False,9137.09000000,0.00437600,39.98390584,2020-07-04 19:10:16
350295641,True,False,9137.66000000,0.00206000,18.82357960,2020-07-04 19:10:17
350295642,True,False,9137.65000000,0.03931900,359.28326035,2020-07-04 19:10:17
350295643,True,False,9138.00000000,0.02103400,192.20869200,2020-07-04 19:10:17
350295644,True,False,9137.96000000,0.03000000,274.13880000,2020-07-04 19:10:18
350295645,True,False,9137.96000000,0.06002900,548.54260084,2020-07-04 19:10:18
