lastUpdateId,bids_price,bids_qty,asks_price,asks_qty
4815729667,9148.00000000,0.08173300,9162.13000000,0.10000000
4815729667,9147.98000000,0.21700000,9162.17000000,0.01090600
4815729667,9147.88000000,0.21862900,9162.22000000,0.05695200
4815729667,9147.62000000,0.00150500,9162.27000000,0.21700000
4815729667,9147.60000000,0.00191700,9162.29000000,0.22796300
4815729667,9147.57000000,0.15150000,9162.37000000,0.01840000
4815729667,9147.53000000,0.28800000,9162.43000000,0.15450000
4815729667,9147.48000000,0.00150900,9162.56000000,0.62627400
4815729667,9147.27000000,0.25000000,9162.65000000,0.21827700
4815729667,9147.15000000,0.00120000,9162.67000000,0.51036200
4815729667,9147.12000000,0.15120300,9162.76000000,0.00873600
